Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Absorbency level (product.metafields.shopify.absorbency-level),Accessory size (product.metafields.shopify.accessory-size),Age group (product.metafields.shopify.age-group),Attachment type (product.metafields.shopify.attachment-type),Bedding size (product.metafields.shopify.bedding-size),Body area (product.metafields.shopify.body-area),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Compatible patient profile (product.metafields.shopify.compatible-patient-profile),Control type (product.metafields.shopify.control-type),Diaper size (product.metafields.shopify.diaper-size),Diaper type (product.metafields.shopify.diaper-type),Display technology (product.metafields.shopify.display-technology),Disposable glove features (product.metafields.shopify.disposable-glove-features),Evaporation technology (product.metafields.shopify.evaporation-technology),Fabric (product.metafields.shopify.fabric),Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material),Handwear material (product.metafields.shopify.handwear-material),Material (product.metafields.shopify.material),Mobility/Accessibility equipment features (product.metafields.shopify.mobility-accessibility-equipment-features),Mounting type (product.metafields.shopify.mounting-type),Nebulizer design (product.metafields.shopify.nebulizer-design),Nebulizer technology (product.metafields.shopify.nebulizer-technology),Power source (product.metafields.shopify.power-source),Size (product.metafields.shopify.size),Stair lifts control type (product.metafields.shopify.stair-lifts-control-type),Staircase type (product.metafields.shopify.staircase-type),Support/Brace material (product.metafields.shopify.support-brace-material),Target gender (product.metafields.shopify.target-gender),Temperature measurement (product.metafields.shopify.temperature-measurement),Test sample (product.metafields.shopify.test-sample),Transfer boards surface type (product.metafields.shopify.transfer-boards-surface-type),Treatment objective (product.metafields.shopify.treatment-objective),Usage type (product.metafields.shopify.usage-type),Wheelchair type (product.metafields.shopify.wheelchair-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
oxygen-concentrator-5l,Oxygen Concentrator 5L,"<p><strong data-is-only-node="""" data-end=""120"" data-start=""99"">Oxygen Flow Rate:</strong> 0.5 to 5 Litres per minute (continuous flow)<br data-end=""168"" data-start=""165""><strong data-end=""193"" data-start=""168"">Oxygen Concentration:</strong> 93% ± 3%<br data-end=""205"" data-start=""202""><strong data-end=""225"" data-start=""205"">Output Pressure:</strong> 0.04 – 0.06 MPa<br data-end=""244"" data-start=""241""><strong data-end=""266"" data-start=""244"">Power Consumption:</strong> Approx. 320 VA<br data-end=""284"" data-start=""281""><strong data-end=""296"" data-start=""284"">Voltage:</strong> 220–230V / 50–60 Hz<br data-end=""319"" data-start=""316""><strong data-end=""335"" data-start=""319"">Noise Level:</strong> Less than 40 dB<br data-end=""354"" data-start=""351""><strong data-end=""365"" data-start=""354"">Weight:</strong> Around 13 kg<br data-end=""381"" data-start=""378""><strong data-end=""400"" data-start=""381"">Operation Type:</strong> Continuous oxygen supply<br data-end=""428"" data-start=""425""><strong data-end=""440"" data-start=""428"">Display:</strong> Digital display with oxygen purity monitoring<br data-end=""489"" data-start=""486""><strong data-end=""502"" data-start=""489"">Warranty:</strong> Up to 3 years or 10,000 hours</p>
<h3><strong>Description</strong></h3>
<ul>
<li>Continuous oxygen delivery: Provides steady oxygen flow suited for users needing up to 5 L/min support</li>
<li>High purity oxygen: Delivers medical-grade oxygen with ~93 % concentration across flow rates</li>
<li>Quiet operation: Operates at low sound levels (&lt; 40 dB), making it suitable for home environments without causing noise disturbance</li>
<li>Energy-efficient: Low power draw helps keep electricity costs down</li>
<li>Smart Alerts &amp; Safety<strong data-start=""2368"" data-end=""2394"">:</strong> Built-in alarms notify for issues such as pressure anomalies, low oxygen purity, temperature rise, or power failure</li>
<li>User-friendly: Digital control panel with purity display makes usage simple for caregivers or patients.</li>
</ul>",AeonCare,Health & Beauty > Health Care > Respiratory Care,Respiratory,"",true,Title,Default Title,,,,,,,,,15000.0,shopify,1,continue,manual,42999.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0291/4949/5374/files/oxygenConcentrator.jpg?v=1770898911,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
foldable-electric-wheelchair-with-remote-lithium-ion-battery,"Foldable Electric Wheelchair with Remote, Lithium ion Battery","<p><strong>Specifications:</strong></p>
<ul>
<li>Aluminium alloy</li>
<li>Front wheel:7inch</li>
<li>Rear wheel:12inch                             </li>
<li>Capacity:100kg</li>
<li>Recharge mileage: 15km</li>
<li>Battery: 24V*10AH                               </li>
<li>Battery material: lithium</li>
<li>Motor: 2 * 180w brushed</li>
</ul>
<ul data-start=""585"" data-end=""1589"">
<li data-start=""585"" data-end=""743"" class="""">
<p data-start=""587"" data-end=""743"" class=""""><strong data-start=""587"" data-end=""617"">Foldable &amp; Compact Design:</strong><span> </span>Effortlessly folds within seconds for easy storage and transport—ideal for travel, car trunks, or limited-space environments.</p>
</li>
<li data-start=""747"" data-end=""938"" class="""">
<p data-start=""749"" data-end=""938"" class=""""><strong data-start=""749"" data-end=""778"">Powerful Lithium Battery:</strong><span> </span>Equipped with a long-lasting lithium battery that offers extended travel range, faster charging, and enhanced safety—engineered for efficiency and reliability.</p>
</li>
<li data-start=""940"" data-end=""1099"" class="""">
<p data-start=""942"" data-end=""1099"" class=""""><strong data-start=""942"" data-end=""965"">Motorised Mobility:</strong><span> </span>Smooth and responsive motor system ensures a comfortable ride with minimal effort, giving users independence with intuitive controls.</p>
</li>
<li data-start=""1101"" data-end=""1289"" class="""">
<p data-start=""1103"" data-end=""1289"" class=""""><strong data-start=""1103"" data-end=""1126"">Flip-up Armrests:</strong><span> </span>Convenient armrests that flip down for easier side access, transfers, and added user flexibility—especially helpful in tight spaces or when moving between chairs.</p>
</li>
<li data-start=""1291"" data-end=""1430"" class="""">
<p data-start=""1293"" data-end=""1430"" class=""""><strong data-start=""1293"" data-end=""1321"">Lightweight Yet Durable:</strong><span> </span>Built with a robust yet lightweight frame, ensuring a strong load capacity without compromising portability.</p>
</li>
<li data-start=""1432"" data-end=""1589"" class="""">
<p data-start=""1434"" data-end=""1589"" class=""""><strong data-start=""1434"" data-end=""1461"">User-Friendly Controls:</strong><span> </span>Simple joystick operation for forward/reverse movement, turning, and speed control—suitable for users of all experience levels.</p>
</li>
</ul>",AeonCare,Health & Beauty > Health Care > Mobility & Accessibility > Accessibility Equipment > Wheelchairs,Electric WheelChairs,"",true,Title,Default Title,,,,,,,,AC6017,30000.0,shopify,1,continue,manual,55499.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0291/4949/5374/files/0013-6735613944990792343.webp?v=1769752449,1,"",false,,,,,,,,,,,,,,,,,,adults; universal,,,,,,,,,,,,,,,,aluminum,foldable; lightweight; portable; ergonomic-design; high-weight-capacity,,,,,,,,,,,,,,,electric,,kg,,,active
elderly-turning-device-pu-leather,Elderly Turning Device - PU Leather,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">Premium Material: The Elderly Turning Device Exterior Pillowcase Is Made Of Pu Leather Material, Soft And Comfortable, Waterproof, Durable, Not Easy To Deform, Can Be Used For A Long Time.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Special Functions: Elderly Turnover Device, Assist The Elderly To Turn Over, Help Change Diapers And Clothes For The Bedridden Persons, Very Suitable For Nursing Staff.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">U Shaped Design: The Elderly Turning Pillow Adopts U Shaped Fixing Groove Design, Provide Comfortable Support And Relieve Leg Discomfort, More Stable And Comfortable To Use.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Elderly Turnover Device, First Is To Lay The Pillow Flat Under The Knees, Second Is To Erecting The Turnover Pad Under The Knees, And The Third Step Is To Hold The Shoulders And Legs To Complete The Turning Operating.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Package Includes: 1 Piece Elderly Turning Device</span></li>
</ul>",Aeon Care,Health & Beauty > Health Care > Mobility & Accessibility > Accessibility Equipment,Bed Accessories,"",true,Title,Default Title,,,,,,,,,1000.0,shopify,1,continue,manual,1800.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0291/4949/5374/files/1_85e1934d-f469-4808-82fe-01932fb6d58a.jpg?v=1769587862,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
elderly-turning-device-pu-leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/4949/5374/files/2_cd540ebb-dee9-498d-a75c-a2a970be9286.jpg?v=1769587863,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elderly-turning-device-pu-leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/4949/5374/files/3_a46d8b45-8755-4998-8dab-899721957f23.jpg?v=1769587863,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multipurpose-lift-transfer-wheelchair-hydraulic-with-commode-food-tray,Multipurpose Lift & Transfer Wheelchair - Hydraulic with Commode & Food Tray,"<h3>Product Specifications</h3>
<ul>
<li>Material: High steel frame</li>
<li>Seat Width: 48 cm</li>
<li>Height from Seat to Floor: 46-65 cm (adjustable)</li>
<li>Product Size (L<em>W</em>H): 65*<em>55*</em>113-136 cm</li>
<li>Packing Size (L<em>W</em>H): 84*<em>62*</em>36 cm</li>
<li>Net Weight: 39.5 kg</li>
<li>Gross Weight: 42 kg</li>
<li>Wheel Diameter: 3″</li>
<li>Max Loading Capacity: 100 kg<br><br>
<h3>Features</h3>
<ul>
<li>
<strong>High Carbon Steel Frame</strong>: Built with a durable and stable high carbon steel frame, ensuring long-lasting use.</li>
<li>
<strong>Hydraulic Lifting Mechanism</strong>: Features a new hydraulic lift system that allows for smooth and easy transfers without any strain.</li>
<li>
<strong>180° Opening Back</strong>: The chair’s backrest opens to a full 180° with a solid back lock, enabling easy transitions and secure support.</li>
<li>
<strong>Adjustable Height</strong>: Easily adjustable seat height from 46 cm to 65 cm, catering to individual comfort and needs.</li>
<li>
<strong>360° Rotating Wheels</strong>: Equipped with four Cardin wheels that allow for flexible movement in any direction, with brake design for added stability.</li>
<li>
<strong>Multi-Functionality</strong>: Serves as a transfer chair, lift chair, and commode chair, meeting various user needs.</li>
<li>
<strong>Versatile Use</strong>: Ideal for multiple settings including bedrooms, dining rooms, living rooms, and more.</li>
</ul>
</li>
</ul>",Aeon Care,Health & Beauty > Health Care > Mobility & Accessibility > Accessibility Equipment > Wheelchairs,Transfer Wheelchair,"",true,Title,Default Title,,,,,,,,,40000.0,shopify,1,deny,manual,33000.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0291/4949/5374/files/transferWheelchair.jpg?v=1769580011,1,"",false,,,,,,,,,,,,,,,,,,adults,,,,,,,,,,,,,,,,metal; plastic; faux-leather,adjustable-dimensions; brake-system; lockable; portable,,,,,,,,,,,,,,,,,kg,,,active
multipurpose-lift-transfer-wheelchair-hydraulic-with-commode-food-tray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/4949/5374/files/35inch_100.jpg?v=1769598742,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multipurpose-lift-transfer-wheelchair-hydraulic-with-commode-food-tray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/4949/5374/files/35inch_99.jpg?v=1769598743,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foldable-electric-wheelchair-compact-lightweight-lithium-ion-battery-ac6019,"Foldable Electric Wheelchair - Compact, Lightweight, Lithium ion Battery AC6019","<p><strong>Specifications:</strong></p>
<ul>
<li>Aluminium alloy</li>
<li>Front wheel:7inch</li>
<li>Rear wheel:12inch                             </li>
<li>Capacity:120kg</li>
<li>Recharge mileage: 15km</li>
<li>Battery: 24V*10AH                               </li>
<li>Battery material: lithium</li>
<li>Motor: 2 * 180w brushed <br><br>
</li>
<li class="""" data-end=""743"" data-start=""585"">
<p class="""" data-end=""743"" data-start=""587""><strong data-end=""617"" data-start=""587"">Foldable &amp; Compact Design:</strong><span> </span>Effortlessly folds within seconds for easy storage and transport—ideal for travel, car trunks, or limited-space environments.</p>
</li>
<li class="""" data-end=""938"" data-start=""747"">
<p class="""" data-end=""938"" data-start=""749""><strong data-end=""778"" data-start=""749"">Powerful Lithium Battery:</strong><span> </span>Equipped with a long-lasting lithium battery that offers extended travel range, faster charging, and enhanced safety—engineered for efficiency and reliability.</p>
</li>
<li class="""" data-end=""1099"" data-start=""940"">
<p class="""" data-end=""1099"" data-start=""942""><strong data-end=""965"" data-start=""942"">Motorised Mobility:</strong><span> </span>Smooth and responsive motor system ensures a comfortable ride with minimal effort, giving users independence with intuitive controls.</p>
</li>
<li class="""" data-end=""1430"" data-start=""1291"">
<p class="""" data-end=""1430"" data-start=""1293""><strong data-end=""1321"" data-start=""1293"">Lightweight Yet Durable:</strong><span> </span>Built with a robust yet lightweight frame, ensuring a strong load capacity without compromising portability.</p>
</li>
<li class="""" data-end=""1589"" data-start=""1432"">
<p class="""" data-end=""1589"" data-start=""1434""><strong data-end=""1461"" data-start=""1434"">User-Friendly Controls:</strong><span> </span>Simple joystick operation for forward/reverse movement, turning, and speed control—suitable for users of all experience levels.</p>
</li>
</ul>",AeonCare,Health & Beauty > Health Care > Mobility & Accessibility > Accessibility Equipment > Wheelchairs,Electric WheelChairs,"",true,Title,Default Title,,,,,,,,AC6019,20000.0,shopify,1,deny,manual,53999.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0291/4949/5374/files/Untitled_design_5_a86374d2-262c-4169-a24a-2c92d85c5de2.jpg?v=1768203321,1,"",false,,,,,,,,,,,,,,,,,,adults; universal,,,,,,,,,,,,,,,,aluminum,foldable; lightweight; portable; high-weight-capacity,,,,,,,,,,,,,,,electric,,kg,,,active
foldable-electric-wheelchair-compact-lightweight-lithium-ion-battery-ac6019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/4949/5374/files/Untitled_design_6_76d26739-0eac-482d-ba01-315bf1102905.jpg?v=1768203321,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
